evidence_id,ecosystem_id,modality,provisional_score,evidence_type,repository,commit_sha_or_release,file_path_or_endpoint,mechanism,expected_behavior,evidence_status,structural_scope_note,notes
SUT06-EV-0001,SUT-06,Web UI Functional,0,documentation,https://github.com/webdriverio/native-demo-app,470b89ec09afac8b28d32cb8ea953071fb7e138a,"README.md; docs/CONTRIBUTING.md","Searched official documentation for a web-targeted product surface (a browser-rendered build or deployment of this application). README.md titles the project 'WebdriverIO Demo App for iOS and Android' and documents only Android/iOS installation and screens; docs/CONTRIBUTING.md documents only Android and iOS build/run steps (Expo dev client, Android emulator/device, iOS Simulator).","A dedicated web-build/deployment section (npm script, hosted URL, or documented browser support) analogous to the Android/iOS build sections.",DOCUMENTED,NO_WEB_SURFACE,"Evidence collection order step 1 (documentation); followed by source check, SUT06-EV-0002. Pinned identifier 470b89ec09afac8b28d32cb8ea953071fb7e138a is the annotated Git tag object for release v2.2.0; `git cat-file -t` shows type 'tag'. It dereferences (`git checkout`) to the single commit 4770f471177fecfe2b4e01f4cffee65aaa663060, which is the tree actually examined for this audit; both identify the same immutable release. See unresolved.md SUT-06-U01."
SUT06-EV-0002,SUT-06,Web UI Functional,0,configuration,https://github.com/webdriverio/native-demo-app,470b89ec09afac8b28d32cb8ea953071fb7e138a,"package.json; app.json; .github/workflows/publish.apps.yml; metro.config.js","Searched the build/release configuration and CI workflow for a web build target. package.json has no `web`/`export:web` script (only android/ios/start/lint/test/version scripts); app.json's `expo.web` key is a favicon entry only (Expo scaffold default); the release workflow (publish.apps.yml) builds and uploads only an Android APK and an iOS Simulator zip; no `.web.tsx` platform-override file exists in the tree (`git ls-files | grep '\.web\.'` returned nothing). `react-native-web` is present only as a transitive Expo-scaffold dependency, not invoked by any script or CI job.","A `web`/`export:web` script, a web CI job or artifact, or a hosted web endpoint.",SOURCE_VERIFIED,NO_WEB_SURFACE,"Evidence collection order step 2 (source); confirms SUT06-EV-0001. Local deployability of `expo start --web` from this dependency is not treated as evidence of a surface (protocol/capability-rubric-v1.md, 'Local deployability does not count')."
SUT06-EV-0003,SUT-06,API,0,documentation,https://github.com/webdriverio/native-demo-app,470b89ec09afac8b28d32cb8ea953071fb7e138a,README.md,"Searched official documentation for a programmatic API/service component of this ecosystem. README.md describes only client-side mobile screens (Home, WebView, Login, Forms, Swipe, Drag, Permissions, Menu); no backend service, API base URL, or server component is documented.","A documented API base URL, service repository, or endpoint reference.",DOCUMENTED,NO_API_SURFACE,"Evidence collection order step 1; followed by SUT06-EV-0004."
SUT06-EV-0004,SUT-06,API,0,source-file,https://github.com/webdriverio/native-demo-app,470b89ec09afac8b28d32cb8ea953071fb7e138a,"src/; app/","Searched all TypeScript/TSX source for network calls (`fetch(`, `axios`, `http(s)://`, `XMLHttpRequest`). No matches in any source file (only false-positive binary matches on PNG asset filenames). src/components/LoginForm.tsx's 'Simulate an API call' comment is a local `setTimeout` with no network I/O.","A `fetch`/`axios`/HTTP client call to a service endpoint, or a documented base URL.",SOURCE_VERIFIED,NO_API_SURFACE,"Evidence collection order step 2; confirms SUT06-EV-0003. Search scope: full src/ and app/ trees, case-insensitive."
SUT06-EV-0005,SUT-06,Android Native,2,documentation,https://github.com/webdriverio/native-demo-app,470b89ec09afac8b28d32cb8ea953071fb7e138a,README.md,"README.md documents eight purpose-built screens (Home, WebView context-switch, Login/Sign-up with validation and biometrics, Forms, Swipe carousel, Drag puzzle, Permissions, Menu/tab-bar configuration), stated to exist specifically for Appium/WebdriverIO test-automation practice (README: 'used for test automation purposes for the appium-boilerplate').","A stable, documented, navigable screen set usable as repeatable test scenarios.",DOCUMENTED,,"Evidence collection order step 1. Supports at least Score 2 (stable, documented scenarios) pending source confirmation of mechanism/outcome (steps 2-3, see SUT06-EV-0006 onward)."
SUT06-EV-0006,SUT-06,Android Native,2,source-file,https://github.com/webdriverio/native-demo-app,470b89ec09afac8b28d32cb8ea953071fb7e138a,src/config/TestProperties.ts,"`testProperties(id)` attaches a stable `accessibilityLabel` (Android) / `testID` (iOS) to elements; applied consistently across every screen read for this audit (Home, DataManagement, LoginForm, FormComponents, PermissionSwitches, TabSideMenu).","Every interactive element carries a stable, platform-appropriate automation identifier discoverable by an accessibility-id-based mobile driver.",SOURCE_VERIFIED,,"Automation-affordance evidence; cited under Cross-cutting Properties section 4 (Automation Affordances, Observability)."
SUT06-EV-0007,SUT-06,Android Native,3,source-file,https://github.com/webdriverio/native-demo-app,470b89ec09afac8b28d32cb8ea953071fb7e138a,src/screens/DataManagement.tsx,"The Data Management screen exposes four independently addressable state tiers (in-memory, AsyncStorage-tier SQLite, explicit SQLite, SecureStore/Keychain-Keystore), each with a testID-tagged input, a testID-tagged 'Save' control (`data-<tier>-save`) that establishes a known value, and a testID-tagged 'Clear' control (`data-<tier>-clear`; the SecureStore one literally labelled 'Clear (test hook)') that resets the tier to a known empty state.","After Save, testID `data-<tier>-readout` shows exactly the saved text. After Clear, the same readout shows the fixed placeholder text (`— empty —` for memory; `— nothing saved yet —` for the three persisted tiers). Persistence-on-restart and persistence-on-reinstall differ per tier exactly as the in-screen help text documents (memory: cleared on process kill; AsyncStorage/SQLite tiers: cleared by app-data clear or `mobile: clearApp`, not by navigation; SecureStore: survives restart, cleared by uninstall on Android).",SOURCE_VERIFIED,,"Primary Score 3 evidence for this modality (protocol/capability-rubric-v1.md, Decision procedure step 3: establish/reset + defined expected outcome). No EXECUTION_VERIFIED record was produced; SOURCE_VERIFIED is fully obtainable for this open-source component and is the confirming status used (confirmation_state = CONFIRMED). No app-wide 'reset all tiers' action was found; only the four per-tier Clear controls (see Resetability, section 4). Considered and rejected: reading this as merely 'the end-user path' (cross-cutting-properties-v1.md's State Controllability definition) rather than an SUT-exposed experimental mechanism — rejected because the screen's own text names Appium/`mobile: clearApp` expectations directly and labels the SecureStore action 'Clear (test hook)', i.e. the SUT documents this control as a test hook, not an incidental UI flow; flagged for adjudication regardless (unresolved.md, SUT-06-U05)."
SUT06-EV-0008,SUT-06,Android Native,2,source-file,https://github.com/webdriverio/native-demo-app,470b89ec09afac8b28d32cb8ea953071fb7e138a,src/components/PermissionSwitches.tsx,"Camera/Microphone/Location/Photo-library switches (testIDs `permission-switch-<name>`) call the corresponding Expo `requestXPermissionsAsync()`; the OS permission dialog is a real, documented Android/iOS system dialog, not a mock.","On grant, the switch reflects `result.granted === true`, observable via the same testID. Revoking is not exposed in-app: toggling off when already granted calls `Linking.openSettings()` and reverts the switch (README.md confirms: 'Revoking access afterward is only possible in the device settings').",SOURCE_VERIFIED,,"Establish/activate side of the mechanism is SUT-exposed and verifiable; reset (revoke) is not, so this record alone supports Score 2, not Score 3 (Score 3 is reached for this modality via SUT06-EV-0007 instead)."
SUT06-EV-0009,SUT-06,Android Native,2,configuration,https://github.com/webdriverio/native-demo-app,470b89ec09afac8b28d32cb8ea953071fb7e138a,"android/app/src/main/AndroidManifest.xml; app.json; app/(tabs)/","MainActivity's intent-filter registers `android:scheme=""wdio""` (also `exp+wdiodemoapp`); app.json sets `expo.scheme: ""wdio""`; Expo Router's file-based routes under `app/(tabs)/` (index, webview, login, forms, swipe, drag, permissions, data-management) each correspond to a routable screen name.","A `wdio://<route>` URL (for example `wdio://data-management`) opens the app directly on that screen, per Expo Router's documented file-based deep-linking behavior.",SOURCE_VERIFIED,,"Scheme registration and route files are source-confirmed at the pinned commit; actual deep-link routing behavior was not executed/observed in this audit (Expo Router's link-resolution behavior is itself a dependency, not this repository's own code). Not used to raise this cell beyond Score 2 on its own. src/App.tsx also defines a `linking` config for `wdio://`, but that file is dead code: it is imported by neither index.js (`expo-router/entry`) nor any file under app/, so it is not part of the evaluated app's actual behavior. See unresolved.md SUT-06-U02."
SUT06-EV-0010,SUT-06,Android Native,2,source-file,https://github.com/webdriverio/native-demo-app,470b89ec09afac8b28d32cb8ea953071fb7e138a,"src/components/TabSideMenu.tsx; src/context/TabBarMenuContext.tsx","The Menu side-panel lists every screen with a star toggle per entry (testID `side-menu-star-<name>`) that pins/unpins the screen in the bottom tab bar via `TabBarMenuContext`'s `togglePinned`; each menu row and each star is independently testID-addressable (`side-menu-item-<name>`).","Toggling a star deterministically adds/removes that screen from the bottom tab bar (observable via the tab bar's own testIDs) without restarting the app.",SOURCE_VERIFIED,,Automation-affordance / in-app configuration-state evidence.
