evidence_id,ecosystem_id,modality,provisional_score,evidence_type,repository,commit_sha_or_release,file_path_or_endpoint,mechanism,expected_behavior,evidence_status,structural_scope_note,notes
SUT01-EV-0001,SUT-01,Web UI Functional,3,documentation,https://github.com/gsanchezm/OmniPizza,9ca37674d374e9303912e259641ee86baf3aabe1,README.md,"README documents 'Web atomic entry': inject auth token into localStorage via page.addInitScript(), then navigate directly to any route (/checkout, /catalog, /profile, /order-success); Checkout auto-hydrates cart from GET /api/cart. Also documents data-testid on all interactive elements.","Automation reaches any authenticated screen without replaying the login UI, per documentation.",DOCUMENTED,,Candidate identification only; see SUT01-EV-0002..0004 for source verification.
SUT01-EV-0002,SUT-01,Web UI Functional,3,source-file,https://github.com/gsanchezm/OmniPizza,9ca37674d374e9303912e259641ee86baf3aabe1,frontend/src/store.js,Auth store reads localStorage 'token' and 'username' at initialization (lines ~33-34) and writes them on login (lines ~38-39); no server round trip is required to consider the client authenticated on load.,Pre-setting localStorage 'token'/'username' before a page load causes the app to treat the session as already authenticated; navigating straight to a protected route (e.g. /checkout) skips the Login screen.,SOURCE_VERIFIED,,Confirms the mechanism documented in SUT01-EV-0001.
SUT01-EV-0003,SUT-01,Web UI Functional,2,source-file,https://github.com/gsanchezm/OmniPizza,9ca37674d374e9303912e259641ee86baf3aabe1,frontend/src/pages/Catalog.jsx; frontend/src/components/ProductCard.jsx,"Pervasive data-testid attributes on interactive elements and content nodes (screen-catalog, pizza-card-<id>, pizza-name-<id>, add-to-cart-<id>, search box, category filter, etc.).",A UI automation script can select every catalog element by a stable data-testid rather than by fragile CSS/text selectors.,SOURCE_VERIFIED,,"Automation-affordance evidence; supports Score >=2 on its own (generic-selector stability), not by itself the Score-3 state-control mechanism (see SUT01-EV-0002/0004)."
SUT01-EV-0004,SUT-01,Web UI Functional,3,source-file,https://github.com/gsanchezm/OmniPizza,9ca37674d374e9303912e259641ee86baf3aabe1,backend/test_api.py (POST /api/cart); frontend/src/pages/Checkout.jsx,POST /api/cart seeds the caller's session cart server-side; the Checkout page fetches GET /api/cart on mount (per README 'Cart Hydration').,"Seeding the cart via POST /api/cart, then navigating the browser to /checkout (with an injected token, see SUT01-EV-0002), renders the checkout screen pre-populated with the seeded items, skipping the catalog-to-cart UI flow.",SOURCE_VERIFIED,,verification=none (SOURCE_VERIFIED only; the auditor did not execute this flow). Cross-referenced in cross-cutting property 'State Controllability'.
SUT01-EV-0005,SUT-01,API,3,documentation,https://github.com/gsanchezm/OmniPizza,9ca37674d374e9303912e259641ee86baf3aabe1,README.md,"README documents full OpenAPI/Swagger/ReDoc docs, Session Setup Endpoints (POST /api/store/market, POST/GET/PUT/DELETE /api/cart[...], POST /api/session/reset, GET /api/session), and deterministic test users/passwords.",Swagger UI at /api/docs and OpenAPI JSON at /api/openapi.json describe every endpoint machine-readably.,DOCUMENTED,,Candidate identification only; see SUT01-EV-0006/0007 for source verification.
SUT01-EV-0006,SUT-01,API,3,source-file,https://github.com/gsanchezm/OmniPizza,9ca37674d374e9303912e259641ee86baf3aabe1,backend/test_api.py,"POST /api/session/reset clears the caller's session (db.reset_test_session) and resets the editable profile to the deterministic empty default (db.reset_user_profile), both keyed by the JWT 'sid' claim.",Calling POST /api/session/reset after seeding cart/market/profile state returns the session to its documented empty baseline; a subsequent GET /api/session shows an empty cart and the session's default market unchanged from reset semantics (country_code reset to 'MX' default per InMemoryDB._ensure_session).,SOURCE_VERIFIED,,Also the primary evidence for cross-cutting property Resetability.
SUT01-EV-0007,SUT-01,API,3,source-file,https://github.com/gsanchezm/OmniPizza,9ca37674d374e9303912e259641ee86baf3aabe1,backend/routers/auth.py; backend/auth.py; backend/constants.py,"POST /api/auth/login authenticates against a fixed TEST_USERS map; locked_out_user unconditionally raises 403 'Sorry, this user has been locked out.' before password is even checked (backend/auth.py authenticate_user).","POST /api/auth/login with username=locked_out_user returns HTTP 403 with that exact message on every call, deterministically; standard_user with the documented password returns 200 with a JWT.",SOURCE_VERIFIED,,
SUT01-EV-0008,SUT-01,Android Native,3,documentation,https://github.com/gsanchezm/OmniPizza,3cdbe6596a1ab5ef2058ba4259c44da96a0fa03a (release v1.1.8),README.md,"README documents omnipizza:// deep-link scheme with a route table (login, catalog, pizza-builder, checkout, order-success, profile) and universal params market, lang, resetSession, accessToken.",Deep links open directly to a named screen with the given state already applied.,DOCUMENTED,,"Candidate identification only; see SUT01-EV-0009/0010 for source verification at the android/ios pinned commit (distinct from the web/api commit, per manifests/sut-manifest.yaml)."
SUT01-EV-0009,SUT-01,Android Native,3,source-file,https://github.com/gsanchezm/OmniPizza,3cdbe6596a1ab5ef2058ba4259c44da96a0fa03a (release v1.1.8),frontend-mobile/app.json; frontend-mobile/src/navigation/linking.ts,"app.json declares ""scheme"": ""omnipizza""; React Navigation LinkingOptions maps omnipizza://login|catalog|pizza-builder|checkout|order-success|profile to the corresponding screens, including a documented alias (customizer -> pizza-builder).","Opening omnipizza://checkout?hydrateCart=true&accessToken=<jwt> on the installed Android build navigates directly to the Checkout screen, already authenticated.",SOURCE_VERIFIED,,Android build artifact is omnipizza-release.apk per manifests/sut-manifest.yaml; the auditor read source only and did not install or run the APK (no EXECUTION_VERIFIED record).
SUT01-EV-0010,SUT-01,Android Native,3,source-file,https://github.com/gsanchezm/OmniPizza,3cdbe6596a1ab5ef2058ba4259c44da96a0fa03a (release v1.1.8),frontend-mobile/src/hooks/useDeepLinkParams.ts,useDeepLinkParams applies query-param side effects on cold start and warm start: accessToken sets the auth token before any fetch; market sets country/derived language; lang overrides language (CH only); hydrateCart clears the local cart so Checkout re-fetches from the API; orderId fetches and hydrates the last order; resetSession logs out and resets navigation to Login.,"omnipizza://catalog?market=MX opens the Catalog screen with country/session state already set to Mexico (and language defaulted to Spanish) before the screen renders, without the user picking a market manually.",SOURCE_VERIFIED,,Same mechanism backs SUT01-EV-0012 for iOS Native (shared frontend-mobile codebase at this commit).
