evidence_id,ecosystem_id,modality,provisional_score,evidence_type,repository,commit_sha_or_release,file_path_or_endpoint,mechanism,expected_behavior,evidence_status,structural_scope_note,notes
SUT04-EV-0001,SUT-04,Web UI Functional,3,documentation,https://github.com/mwinteringham/restful-booker-platform,d36bd3f8647a091d406e53bad463c5e3e5d2ece1,README.md,"Documented deterministic admin login credentials (username admin, password password) and documented local web URL http://localhost:3003","Logging into the web application with the documented admin/password credentials grants access to the admin area",DOCUMENTED,,
SUT04-EV-0002,SUT-04,Web UI Functional,3,source-file,https://github.com/mwinteringham/restful-booker-platform,d36bd3f8647a091d406e53bad463c5e3e5d2ece1,assets/src/components/admin/Login.tsx,"Web UI login form (stable element ids username, password, doLogin) posts credentials to the /api/auth/login proxy route; on success sets a token cookie via universal-cookie and redirects to /admin/rooms; on failure shows a role=alert 'Invalid credentials' message and does not redirect","Submitting the documented admin/password credentials redirects the browser to /admin/rooms and reveals the admin listings; submitting invalid credentials shows a visible error and leaves the user on the login form",SOURCE_VERIFIED,,
SUT04-EV-0003,SUT-04,Web UI Functional,3,source-file,https://github.com/mwinteringham/restful-booker-platform,d36bd3f8647a091d406e53bad463c5e3e5d2ece1,auth/src/main/resources/seed.sql;auth/src/main/resources/db.sql,"ACCOUNTS table is created and seeded with exactly one deterministic row (username admin, password password) each time the auth service starts, via AuthDB executing db.sql then seed.sql","A POST to /auth/login with username admin and password password against a freshly started auth service authenticates and returns a token; this is the credential pair the Web UI login form (SUT04-EV-0002) exercises",SOURCE_VERIFIED,,corroborates=SUT04-EV-0002
SUT04-EV-0004,SUT-04,Web UI Functional,2,source-file,https://github.com/mwinteringham/restful-booker-platform,d36bd3f8647a091d406e53bad463c5e3e5d2ece1,assets/src/components/home/Availability.tsx;room/src/main/resources/seed.sql,"Home page availability/room listing renders room data returned by the room service, which is seeded at startup with exactly three deterministic rooms (101 Single $100, 102 Double $150, 103 Suite $225, fixed descriptions/features)","On a freshly seeded/reset room service, the home page displays exactly the three seeded rooms with their seeded name, type, price and description fields",SOURCE_VERIFIED,,
SUT04-EV-0005,SUT-04,API,3,documentation,https://github.com/mwinteringham/restful-booker-platform,d36bd3f8647a091d406e53bad463c5e3e5d2ece1,auth/README.md;booking/README.md;room/README.md;message/README.md;branding/README.md;report/README.md,"Each of the six services documents its REST CRUD endpoints, its OpenAPI/Swagger UI at http://localhost:{port}/{service}/swagger-ui/index.html, and its actuator health/logfile endpoints","Each documented endpoint is reachable at the documented path and returns the documented response shape",DOCUMENTED,,
SUT04-EV-0006,SUT-04,API,3,source-file,https://github.com/mwinteringham/restful-booker-platform,d36bd3f8647a091d406e53bad463c5e3e5d2ece1,booking/src/main/java/com/automationintesting/api/BookingController.java,"Full REST CRUD for the booking resource: GET / (list, optional roomid filter), GET /{id}, POST / (create), PUT /{id} (update), DELETE /{id}, plus GET /unavailable and GET /summary; equivalent GET/POST/PUT/DELETE CRUD source-verified in room/src/main/java/.../RoomController.java and message/src/main/java/.../MessageController.java, and GET/PUT source-verified in branding/src/main/java/.../BrandingController.java","POST / with a valid booking body returns 201 CREATED with the created booking (including a new bookingid); a subsequent GET /{bookingid} returns the same booking; DELETE /{bookingid} followed by GET /{bookingid} returns 404 NOT_FOUND",SOURCE_VERIFIED,,
SUT04-EV-0007,SUT-04,API,3,source-file,https://github.com/mwinteringham/restful-booker-platform,d36bd3f8647a091d406e53bad463c5e3e5d2ece1,booking/src/main/resources/seed.sql;booking/src/main/resources/db.sql;room/src/main/resources/seed.sql;message/src/main/resources/seed.sql;branding/src/main/resources/seed.sql,"Each of booking, room, message and branding is seeded at startup with a fixed, deterministic dataset (3 bookings, 3 rooms, 1 message, 1 branding record respectively, with fixed field values), and each service's resetDB() re-executes its seed.sql","GET /booking/1, /booking/2, /booking/3 on a freshly started or freshly reset booking service return exactly the three seeded bookings (James Dean/roomid 1, Erica Bowthorpe/roomid 2, Timothy Barrow/roomid 3) with their seeded fields",SOURCE_VERIFIED,,
SUT04-EV-0008,SUT-04,API,3,source-file,https://github.com/mwinteringham/restful-booker-platform,d36bd3f8647a091d406e53bad463c5e3e5d2ece1,auth/src/main/java/com/automationintesting/api/AuthController.java;booking/src/main/java/com/automationintesting/service/BookingService.java,"Cookie-token authorization: POST /auth/login with the seeded admin/password credentials (SUT04-EV-0003) issues a token cookie; booking/room/message/branding read, update and delete endpoints call authRequests.postCheckAuth(token) and return 403 FORBIDDEN when the token is missing or invalid","A request to a protected endpoint carrying a token obtained from a successful /auth/login returns its normal success status (200/201/202); the same request with no token or an invalid token returns 403 FORBIDDEN, deterministically and repeatably",SOURCE_VERIFIED,,
SUT04-EV-0009,SUT-04,API,3,documentation,https://github.com/mwinteringham/restful-booker-platform,d36bd3f8647a091d406e53bad463c5e3e5d2ece1,.utilities/wirebridge/README.md,"Wirebridge, a configurable HTTP-to-SQL bridge, is shipped in-repo and documented as currently being used with RBP as a means to quickly create a single booking or room per API call","Sending the documented HTTP request to a running Wirebridge instance creates a corresponding booking or room row",DOCUMENTED,,
SUT04-EV-0010,SUT-04,API,3,configuration,https://github.com/mwinteringham/restful-booker-platform,d36bd3f8647a091d406e53bad463c5e3e5d2ece1,.utilities/wirebridge/mappings/add_booking.json;.utilities/wirebridge/mappings/add_room.json;.utilities/wirebridge/mappings/config.json,"Wirebridge mapping files present in the repository map POST /booking and POST /room to parameterized SQL INSERT statements against the booking and room services' H2 databases (accessed over the H2 TCP protocol on ports 9090/9091, which the booking/room services expose when started with dbServer=true)","POST to the mapped Wirebridge endpoint with the documented parameters inserts a matching row into the target service's database",SOURCE_VERIFIED,,corroborates=SUT04-EV-0009
