evidence_id,ecosystem_id,modality,provisional_score,evidence_type,repository,commit_sha_or_release,file_path_or_endpoint,mechanism,expected_behavior,evidence_status,structural_scope_note,notes
SUT03-EV-0001,SUT-03,Web UI Functional,3,source-file,https://github.com/browserstack/browserstack-demo-app,7ab934d733f2f74d4b912e94e86f59ae0f6b7609,src/constants/users.js,"Deterministic test accounts: image_not_loading_user, existing_orders_user, fav_user, demouser (all valid, shared password testingisfun99) and locked_user (recognized but always rejected).","Signing in with each account deterministically produces a distinct, pre-defined application state: image_not_loading_user -> product thumbnails fail to render; existing_orders_user -> Orders page is pre-populated; fav_user -> first 5 products pre-marked as favourite; locked_user -> sign-in always rejected with 'Your account has been locked.'; demouser -> ordinary browsing state.",SOURCE_VERIFIED,,Matches capability-rubric-v1.md Score 3 example 'deterministic test account' verbatim. Cross-referenced in pages/signin/index.jsx (username dropdown) and pages/api/signin.js (SUT03-EV-0003).
SUT03-EV-0002,SUT-03,Web UI Functional,2,documentation,https://github.com/browserstack/browserstack-demo-app,7ab934d733f2f74d4b912e94e86f59ae0f6b7609,README.md,"README.md 'Getting Started' note names 3 of the 5 example accounts (image_not_loading_user, existing_orders_user, fav_user) and the shared password testingisfun99.",A reader can log in with a named account and observe the account-specific state documented informally by the account name.,DOCUMENTED,,locked_user and demouser are not named in README.md but are present in source (src/constants/users.js) and in the sign-in page's own UI dropdown (pages/signin/index.jsx) -- see SUT03-EV-0001. Supplementary context only; does not by itself confirm SUT03-EV-0001.
SUT03-EV-0003,SUT-03,Web UI Functional,3,source-file,https://github.com/browserstack/browserstack-demo-app,7ab934d733f2f74d4b912e94e86f59ae0f6b7609,pages/api/signin.js,"POST /api/signin checks isValidUser(userName) and isValidPassword(password) from src/constants/users.js; on failure, isLockedUser(userName) overrides the error message specifically for locked_user.",200 with empty body for a valid account+password combination; 422 with errorMessage='Invalid Username' / 'Invalid Password' for other invalid input; 422 with errorMessage='Your account has been locked.' specifically when userName=locked_user.,SOURCE_VERIFIED,,Documented via @swagger JSDoc block in the same file and exposed at /api/doc and /swagger (see SUT03-EV-0009).
SUT03-EV-0004,SUT-03,Web UI Functional,2,source-file,https://github.com/browserstack/browserstack-demo-app,7ab934d733f2f74d4b912e94e86f59ae0f6b7609,src/components/Shelf/Product/index.js,"Source-commented ('Bug: Hide first product image for firefox 50' / 'Bug for demonstration') browser-version-conditioned functional divergence: when react-device-detect reports Firefox version 50, the first product's thumbnail is blanked and the Add-to-cart click handler becomes a no-op for every product.","On a browser reporting as Firefox 50 (isFirefox && browserVersion==50), the first product shows no image and clicking 'Add to cart' has no effect; on every other browser both work normally.",SOURCE_VERIFIED,,"A narrow, browser-UA-conditioned mechanism, not a general test account; requires UA spoofing to exercise (e.g. Selenium/Playwright browser channel or CDP UA override). Not counted as the primary basis for the Web UI Functional score (see SUT03-EV-0001/0003); recorded as corroborating evidence of intentional, deterministic cross-browser divergence."
SUT03-EV-0005,SUT-03,Web UI Functional,2,source-file,https://github.com/browserstack/browserstack-demo-app,7ab934d733f2f74d4b912e94e86f59ae0f6b7609,pages/checkout/index.jsx; src/services/cart/*; src/services/total/*,"End-to-end client-side functional flow (browse -> client-side filter/sort -> add to cart -> checkout address form -> confirmation) is wired with stable id attributes (e.g. login-submit-btn, checkout-shipping-continue) and data-test attributes (e.g. shipping-address-heading, cart).",Each step deterministically transitions to the next given valid input; selectors remain stable across runs (no dynamically generated ids observed on interactive elements).,SOURCE_VERIFIED,,Supports Automation Affordances and Functional Complexity cross-cutting descriptions (audit.md section 4); corroborates but is not itself the primary Score-3 basis for this modality.
SUT03-EV-0006,SUT-03,API,3,source-file,https://github.com/browserstack/browserstack-demo-app,7ab934d733f2f74d4b912e94e86f59ae0f6b7609,pages/api/products.js,GET /api/products?userName=fav_user marks exactly the first 5 products isFav=true in the response; any other or absent userName returns all products with isFav=false.,"JSON body products[] has isFav=true on exactly the first 5 entries when userName=fav_user, and isFav=false on every entry otherwise.",SOURCE_VERIFIED,,Documented via @swagger JSDoc block in the same file; served under the same repository/commit as the web surface (see audit.md section 2 on API presence).
SUT03-EV-0007,SUT-03,API,3,source-file,https://github.com/browserstack/browserstack-demo-app,7ab934d733f2f74d4b912e94e86f59ae0f6b7609,pages/api/orders.js,GET /api/orders?userName=existing_orders_user returns the 5 seeded orders from src/constants/orders.json with HTTP 200; any other userName returns HTTP 404 with message 'No orders found'.,200 + orders[] of length 5 for userName=existing_orders_user; 404 + {message:'No orders found'} for every other userName.,SOURCE_VERIFIED,,
SUT03-EV-0008,SUT-03,API,3,source-file,https://github.com/browserstack/browserstack-demo-app,7ab934d733f2f74d4b912e94e86f59ae0f6b7609,pages/api/checkout.js,GET /api/checkout (called by pages/checkout/index.jsx on order submission) gates on isValidUser(userName) from src/constants/users.js.,"200 for any of the 4 valid demo accounts (image_not_loading_user, existing_orders_user, fav_user, demouser); 422 for every other userName, including locked_user and an absent/unauthenticated userName.",SOURCE_VERIFIED,,
SUT03-EV-0009,SUT-03,API,2,source-file,https://github.com/browserstack/browserstack-demo-app,7ab934d733f2f74d4b912e94e86f59ae0f6b7609,"pages/api/doc.js; pages/swagger/index.jsx; package.json (next-swagger-doc, swagger-ui-react)","pages/api/doc.js configures next-swagger-doc with apiFolder='pages/api', auto-collecting the @swagger JSDoc block present in every pages/api/*.js handler observed (signin, checkout, products, orders, offers, control/*, zero/errors) into an OpenAPI 3.0 document; pages/swagger/index.jsx renders it via swagger-ui-react at /swagger.","GET /api/doc returns a valid OpenAPI 3.0 JSON document; /swagger renders an interactive UI enumerating every annotated endpoint, its parameters, and its documented response codes.",SOURCE_VERIFIED,,Supports the API modality's documentation/observability profile and the Observability cross-cutting property (audit.md section 4); machine-readable schema is itself an Automation Affordance.
SUT03-EV-0010,SUT-03,Android Native,,source-file,https://github.com/browserstack/browserstack-demo-app,7ab934d733f2f74d4b912e94e86f59ae0f6b7609,"(repository root, full tree at pinned commit)","Searched the full file tree of the pinned commit (128 tracked files) for Android application code or build configuration: no android/ directory, no *.gradle file, no AndroidManifest.xml; package.json dependencies contain no react-native, expo, capacitor, or cordova package.","Presence of Android application source, a Gradle/Android build file, or a cross-platform mobile framework dependency.",SOURCE_VERIFIED,NO_MOBILE_SURFACE,"manifests/sut-manifest.yaml and manifests/e01-source-provenance.yaml record no Android component pinned for SUT-03 at repository-selection time; this record independently confirms structural absence by inspecting the pinned source itself, not merely the absence of a manifest pin."
