evidence_id,ecosystem_id,modality,provisional_score,evidence_type,repository,commit_sha_or_release,file_path_or_endpoint,mechanism,expected_behavior,evidence_status,structural_scope_note,notes
SUT02-EV-0001,SUT-02,Web UI Functional,3,source-file,https://github.com/saucelabs/sample-app-web,60fdd634bb111c092282fa07977513a0a7765593,src/pages/Login.jsx; src/utils/Credentials.js; src/utils/Constants.js,VALID_USERNAMES defines six fixed test accounts (standard_user; locked_out_user; problem_user; performance_glitch_user; error_user; visual_user) sharing password 'secret_sauce'. verifyCredentials() checks the pair; Login.jsx then calls isLockedOutUser() and blocks the redirect for locked_out_user.,"Submitting locked_out_user / secret_sauce passes verifyCredentials() but Login.jsx intercepts the redirect and renders the fixed text 'Sorry, this user has been locked out.'; the other five listed usernames redirect to /inventory.html.",SOURCE_VERIFIED,,
SUT02-EV-0002,SUT-02,Web UI Functional,3,source-file,https://github.com/saucelabs/sample-app-web,60fdd634bb111c092282fa07977513a0a7765593,src/components/DrawerMenu.jsx,"Side-drawer menu exposes a 'Reset App State' action (resetStorage -> ShoppingCart.resetCart()) and a 'Logout' action (removeCredentials()), both reachable from any authenticated screen.",Reset App State empties the in-memory/localStorage shopping cart (ShoppingCart.resetCart()) without navigating away; Logout clears the session-username cookie (removeCredentials()) and subsequent PrivateRoute checks redirect to /.,SOURCE_VERIFIED,,Supports State Controllability and Resetability cross-cutting properties for the web surface.
SUT02-EV-0003,SUT-02,Web UI Functional,3,source-file,https://github.com/saucelabs/sample-app-web,60fdd634bb111c092282fa07977513a0a7765593,src/components/InventoryListItem.jsx; src/pages/CheckOutStepOne.jsx; src/pages/CheckOutStepTwo.jsx; src/pages/InventoryItem.jsx,"problem_user and error_user each drive deterministic, itemId-parity-based functional faults in add/remove-cart and in checkout form validation (isProblemUser()/isErrorUser() branches), independent of the locked_out_user mechanism in SUT02-EV-0001.","For problem_user, addToCart/removeFromCart silently no-ops on odd/even item ids respectively (odd ids never add, even ids never remove); for error_user the same paths throw a caught exception reported to the (vendor) error-reporting client. Both are reproducible per fixed item id on every run.",SOURCE_VERIFIED,,Additional Score-3 support alongside SUT02-EV-0001; corroborates Determinism (deterministic branch keyed on username and item id).
SUT02-EV-0004,SUT-02,API,,source-file,https://github.com/saucelabs/sample-app-web,60fdd634bb111c092282fa07977513a0a7765593,src/index.jsx; src/components/PrivateRoute.jsx; src/utils/,"Searched web src/ for a business-data API surface (fetch/axios/XMLHttpRequest calls, a configured baseURL, or any network read/write of product, cart, or user data). PrivateRoute.jsx authorizes routes purely from a client-side cookie (isLoggedIn()); the only fetch() call in the tree is the PWA service-worker's own cache-busting request (src/serviceWorkerRegistration.js); the only outbound URL is the vendor Backtrace error-reporting endpoint declared in src/index.jsx.",,SOURCE_VERIFIED,NO_API_SURFACE,Negative evidence: the web component is a client-only SPA with cookie-based session state and a local product catalog (src/utils/InventoryData.js); it ships and documents no programmatic API of its own.
SUT02-EV-0005,SUT-02,API,,source-file,https://github.com/saucelabs/my-demo-app-android,36b012eecdf6a2b488b9504e16b3d0c3ca9a0e7b,app/src/main/java/com/saucelabs/mydemoapp/android/utils/Network.java; .../MyApplication.java; .../DeviceVitalsDemo.java,"Searched android app/src/main/java for a business-data API (calls that read or write product/cart/user state). Network.java is a generic OkHttp GET/POST helper. It is invoked, live and unconditionally at app start (MyApplication.onCreate -> DeviceVitalsDemo.kickstart()), for: a static terms-of-service page fetch, a static JS asset fetch, a static image fetch, and a POST of 4096 bytes of random UUID text to https://my-demo-app.net/api/analytics/collect/. Response bytes are read (getResponseBodyBytes) but discarded; no request or response schema is documented; no call reads or writes product, cart, or user state.",,SOURCE_VERIFIED,NO_API_SURFACE,"Negative evidence for a business-data API. The analytics/collect endpoint is a real, source-verified, hosted-only outbound telemetry call the pinned app itself makes (not a vendor tool pointed at the app), but it is write-only, undocumented, and offers no read or seed capability, so it does not meet Decision procedure step 1's 'reasonable surface for this modality'; not probed further (no destructive/state-changing interaction against a PUBLIC_HOSTED endpoint). Also cited under Determinism (external dependency) and Observability."
SUT02-EV-0006,SUT-02,API,,source-file,https://github.com/saucelabs/my-demo-app-ios,031358f56903742103a02d086f8af76735bb31a7,My Demo App/ (all Swift sources); My Demo App/Info.plist,"Searched the full ios app tree for URLSession, Alamofire, dataTask, or any baseURL constant; zero matches. Info.plist has no App Transport Security exceptions consistent with a remote API dependency.",,SOURCE_VERIFIED,NO_API_SURFACE,Negative evidence: the ios component performs no network calls of any kind; all product/cart/checkout data lives in the in-process Engine singleton.
SUT02-EV-0007,SUT-02,Android Native,3,source-file,https://github.com/saucelabs/my-demo-app-android,36b012eecdf6a2b488b9504e16b3d0c3ca9a0e7b,app/src/main/java/com/saucelabs/mydemoapp/android/view/fragments/LoginFragment.java; app/src/main/res/values/strings.xml,loginWithEmail() special-cases the fixed account alice@example.com (any password) and blocks it with a dedicated error string; app/src/main/res/values/strings.xml holds the exact displayed text (soory_this_user_has_been_locked_out).,Entering alice@example.com in the login form shows the fixed locked-out error text and does not navigate to MainActivity; any other non-empty username/password combination logs in and navigates to MainActivity.,SOURCE_VERIFIED,,
SUT02-EV-0008,SUT-02,Android Native,3,source-file,https://github.com/saucelabs/my-demo-app-android,36b012eecdf6a2b488b9504e16b3d0c3ca9a0e7b,app/src/main/java/com/saucelabs/mydemoapp/android/view/activities/MainActivity.java,"Side-menu 'Reset App State' (showResetDialog) and 'Log Out' (showLogoutAlertDialog) actions, each behind a confirmation dialog, reachable from MainActivity's menu once logged in.","Confirming RESET APP clears ST.cartItemList and reloads product data (setData()), then shows 'App State has been reset.'; confirming LOGOUT sets ST.isLogin/ST.hasVisualChanges to false and returns to the login screen.",SOURCE_VERIFIED,,Supports State Controllability and Resetability for the android surface.
SUT02-EV-0009,SUT-02,iOS Native,3,source-file,https://github.com/saucelabs/my-demo-app-ios,031358f56903742103a02d086f8af76735bb31a7,My Demo App/Controllers/MenuViewController.swift,"Menu screen exposes 'Reset App State' (resetAppState()) and 'Log Out' (logoutButton) actions, each behind a confirmation for reset.","resetAppState() zeroes Engine.sharedInstance's cart list/count/total and every shipping/billing/card field, then shows the alert 'App State has been reset.'; logoutButton sets Engine.sharedInstance.isLogin = false and returns to LoginViewController.",SOURCE_VERIFIED,,Supports State Controllability and Resetability for the ios surface.
SUT02-EV-0010,SUT-02,iOS Native,,source-file,https://github.com/saucelabs/my-demo-app-ios,031358f56903742103a02d086f8af76735bb31a7,My Demo App/Controllers/LoginViewController.swift; My Demo App/Storyboards/Base.lproj/Authentication.storyboard,"LoginViewController.LoginButton only checks userNameTF.hasText / passwordTF.hasText; there is no VALID_USERNAMES-style allow-list and no locked-out check (no match for 'locked' or 'alice@example.com' as a guard anywhere in Controllers/). The storyboard nonetheless ships four tappable prefill buttons (bob@example.com, alice@example.com, john@example.com, visual@example.com), implying a fixed account roster.",,SOURCE_VERIFIED,,"Documentation-vs-implementation contradiction, see audit.md section 5: the ios UI implies the same locked-out account (alice@example.com) that the android component enforces (SUT02-EV-0007), but the pinned ios LoginViewController accepts alice@example.com like any other non-empty credential. Does not reduce iOS Native confirmed_score (SUT02-EV-0009 and the visual@example.com mechanism, cited under Visual Testing, independently satisfy Score 3); relevant to Cross-platform Scenario Parity (partial: the locked-out scenario exists on web and android, not on ios)."
