evidence_id,ecosystem_id,modality,provisional_score,evidence_type,repository,commit_sha_or_release,file_path_or_endpoint,mechanism,expected_behavior,evidence_status,structural_scope_note,notes
"SUT05-EV-0001","SUT-05","Web UI Functional","","documentation","https://github.com/juice-shop/juice-shop","1618a611b173b4bf114028e6e02549950606e29d","README.md","README.md 'From Sources' setup instructions describe a browsable Angular single-page web application served via npm start at http://localhost:3000","","DOCUMENTED","","Establishes the Web UI Functional surface prior to source verification; supports presence CONFIRMED for web in audit.md section 2."
"SUT05-EV-0002","SUT-05","Web UI Functional","3","source-file","https://github.com/juice-shop/juice-shop","1618a611b173b4bf114028e6e02549950606e29d","data/static/users.yml","Static seed-data file defining a fixed set of named accounts with deterministic email/password pairs (for example email admin, password admin123; also named accounts jim, bender, chris, amy, support, mc.safesearch, and an accounting-role account), each with deterministic role/profile fields","Logging into the Web UI with a listed account's exact credentials reaches the application in that account's known role/state every time the evaluated version is run, because the account set is redefined identically on every application start (see SUT05-EV-0003)","SOURCE_VERIFIED","","Deterministic-test-account mechanism, protocol/capability-rubric-v1.md Score 3 example."
"SUT05-EV-0003","SUT-05","Web UI Functional","3","source-file","https://github.com/juice-shop/juice-shop","1618a611b173b4bf114028e6e02549950606e29d","server.ts (line 755); models/index.ts","server.ts calls sequelize.sync with force true on every application start (also seq.sync with force true at line 806), which drops and recreates all database tables, followed by the data creator (data/datacreator.ts) that reloads data/static/*.yml","Restarting the evaluated application from a fresh process always reproduces the identical initial user/product/basket state defined in the evaluated version's static seed files; no in-session HTTP reset endpoint was found (see SUT05-EV-0028 and limitations.md)","SOURCE_VERIFIED","","Confirms SUT05-EV-0002's accounts are reproducible from the evaluated version itself, not external tooling. Also supports Resetability (cross-cutting)."
"SUT05-EV-0004","SUT-05","Web UI Functional","3","source-file","https://github.com/juice-shop/juice-shop","1618a611b173b4bf114028e6e02549950606e29d","frontend/src/app/navbar/navbar.component.ts","Injects AdministrationService and defines an isAccounting() role check (line 305) that gates which navigation UI elements are rendered by the logged-in account's role","Logging in as the admin/accounting accounts named in SUT05-EV-0002 deterministically changes which navigation items (e.g. Administration) are rendered, giving Web UI Functional testing a defined, observable expected outcome tied to a known account","SOURCE_VERIFIED","","Confirms the defined-expected-outcome half of the Score 3 decision-procedure question for Web UI Functional."
"SUT05-EV-0005","SUT-05","API","","documentation","https://github.com/juice-shop/juice-shop","1618a611b173b4bf114028e6e02549950606e29d","swagger.yml","OpenAPI 3.0 document describing a versioned NextGen B2B API at /b2b/v2 with a createCustomerOrder operation, request/response JSON schemas, and bearer-JWT security","","DOCUMENTED","","Establishes the API surface and its documented schema prior to source verification; supports presence CONFIRMED for api in audit.md section 2."
"SUT05-EV-0006","SUT-05","API","3","source-file","https://github.com/juice-shop/juice-shop","1618a611b173b4bf114028e6e02549950606e29d","routes/login.ts (lines 59-73)","POST /rest/user/login accepts the same deterministic accounts as SUT05-EV-0002 and issues a JWT scoped to that account; the same handler runs challengeUtils.solveIf() checks asserting the exact submitted email/password against each named account","Authenticating via the API with a known account from SUT05-EV-0002 deterministically returns a JWT bound to that account's id/role, usable to seed further API-level state (basket, orders) as that account","SOURCE_VERIFIED","","API-based state seeding via a documented account, protocol/capability-rubric-v1.md Score 3 example."
"SUT05-EV-0007","SUT-05","API","3","source-file","https://github.com/juice-shop/juice-shop","1618a611b173b4bf114028e6e02549950606e29d","server.ts (lines 392-393, 500, 520)","finale.resource() exposes the Challenge model as a queryable REST resource; app.post on /api/Challenges with security.denyAll() and app.use on /api/Challenges/:id with security.denyAll() block writes, leaving read-only GET access to each challenge's solved boolean and metadata","GET /api/Challenges (or /api/Challenges/:id) deterministically reports solved true for a given challenge exactly when its documented vulnerability condition (SUT05-EV-0010, SUT05-EV-0011) has actually been triggered, and solved false otherwise","SOURCE_VERIFIED","","Gives the API modality a source-verified, machine-readable ground-truth read-out; also supports Observability (cross-cutting)."
"SUT05-EV-0008","SUT-05","API","2","source-file","https://github.com/juice-shop/juice-shop","1618a611b173b4bf114028e6e02549950606e29d","routes/ (directory listing, 61 files)","61 distinct Express route modules implement first-class REST resources beyond the deterministic-account mechanism: basket, basketItems, address, orderHistory, coupon, delivery, 2fa, wallet, deliveries, createProductReviews, dataExport, dataErasure, and others (counted directly from the routes/ directory listing)","Each resource is reachable and returns structured JSON, but most of these resources (unlike login/Challenges above) carry no individually documented ground-truth condition of their own","SOURCE_VERIFIED","","Supports API breadth generally (Score 2 or higher baseline) and the Functional Complexity cross-cutting description."
"SUT05-EV-0009","SUT-05","Security Testing","","documentation","https://github.com/juice-shop/juice-shop","1618a611b173b4bf114028e6e02549950606e29d","package.json; README.md","package.json description states it is probably the most modern and sophisticated insecure web application; keywords include vulnerable, pentest, capture the flag; README.md states the app encompasses vulnerabilities from the entire OWASP Top Ten along with many other security flaws found in real-world applications","","DOCUMENTED","","Documents the ecosystem's stated purpose prior to source verification."
"SUT05-EV-0010","SUT-05","Security Testing","3","source-file","https://github.com/juice-shop/juice-shop","1618a611b173b4bf114028e6e02549950606e29d","data/static/challenges.yml (1593 lines)","A catalog of 113 individually named, keyed challenges (counted directly) spanning 16 documented categories (Sensitive Data Exposure, Injection, Improper Input Validation, Broken Access Control, XSS, Vulnerable Components, Broken Authentication, Miscellaneous, Security Misconfiguration, Cryptographic Issues, Observability Failures, Broken Anti Automation, Security through Obscurity, Insecure Deserialization, XXE, Unvalidated Redirects); each entry has a description naming the specific intentional vulnerability/exploitation goal, a difficulty, hints, and a mitigationUrl","Each challenge's description field is itself the defined, pre-registered expected outcome of successfully exploiting that specific documented vulnerability (for example the Password Hash Leak challenge: obtain a user's password hash via a REST API endpoint)","SOURCE_VERIFIED","","Primary ground-truth inventory for the Security Testing modality."
"SUT05-EV-0011","SUT-05","Security Testing","3","source-file","https://github.com/juice-shop/juice-shop","1618a611b173b4bf114028e6e02549950606e29d","lib/challengeUtils.ts (lines 23-45); 35 call sites across routes/","solveIf(challenge, criteria) and solve() implement server-side, automated, deterministic detection: a challenge's persisted solved field flips false to true exactly when the supplied criteria() predicate (the exact exploitation condition named in the matching data/static/challenges.yml entry) evaluates true; used at 35 call sites across routes/ (grep count, this audit)","Triggering the documented vulnerability condition for a given challenge (SUT05-EV-0010) causes challenge.solved to become observably true (via SUT05-EV-0007's GET /api/Challenges and the in-app score board/notification), independent of how the condition was reached; the condition remains false otherwise","SOURCE_VERIFIED","","Confirms the mechanism half of the Score 3 decision-procedure question for Security Testing (establish a known condition and observe a defined expected outcome)."
"SUT05-EV-0012","SUT-05","Security Testing","","source-file","https://github.com/juice-shop/juice-shop","1618a611b173b4bf114028e6e02549950606e29d","data/static/challenges.yml (disabledEnv field, e.g. restfulXssChallenge)","Some individual challenge entries carry a disabledEnv field (for example Docker and Heroku on the API-only XSS / restfulXssChallenge entry) that disables that specific challenge's solve condition under named deployment environments","","SOURCE_VERIFIED","","Limitation: the Security Testing ground-truth inventory is not perfectly uniform across every deployment environment for every individual challenge; see limitations.md. Does not change the modality-level Score 3 determination, which rests on the catalog and detection mechanism as a whole (SUT05-EV-0010, SUT05-EV-0011)."
"SUT05-EV-0013","SUT-05","Localization / i18n","","documentation","https://github.com/juice-shop/juice-shop","1618a611b173b4bf114028e6e02549950606e29d","data/static/locales.json","Lists locale entries (key, icons, shortKey, display lang name) intended for selection in the UI's language switcher; 45 corresponding locale JSON translation files were counted directly under frontend/src/assets/i18n/","","DOCUMENTED","","Establishes the locale surface prior to source verification."
"SUT05-EV-0014","SUT-05","Localization / i18n","3","source-file","https://github.com/juice-shop/juice-shop","1618a611b173b4bf114028e6e02549950606e29d","frontend/src/app/navbar/navbar.component.ts (lines 209, 253); frontend/src/assets/i18n/ (45 files, counted directly)","this.translate.use(langKey), using Angular ngx-translate, performs an explicit, user-invokable runtime locale switch, backed by 45 shipped per-locale JSON translation files","Selecting a given langKey deterministically re-renders the UI's translatable strings using that locale's shipped JSON file content, which is fixed and known in advance from the file itself in the evaluated version","SOURCE_VERIFIED","","Explicit market/locale selection, protocol/capability-rubric-v1.md Score 3 example; mechanism and outcome both confirmed in source."
"SUT05-EV-0015","SUT-05","Localization / i18n","","source-file","https://github.com/juice-shop/juice-shop","1618a611b173b4bf114028e6e02549950606e29d","routes/languages.ts (getLanguageList)","Backend endpoint computes, per locale, a translation-completeness percentage by diffing each shipped locale JSON file against the English baseline (frontend and, where present, backend translation files)","","SOURCE_VERIFIED","","Supports Observability: an API-observable, source-verified measure of translation completeness per locale."
"SUT05-EV-0016","SUT-05","Performance","","source-file","https://github.com/juice-shop/juice-shop","1618a611b173b4bf114028e6e02549950606e29d","data/static/challenges.yml (16 categories); routes/ (61 files); config/*.yml (14 files)","Searched the full 113-entry challenge catalog's 16 documented categories, all 61 route modules, and all 14 config profiles for a Performance/load/Denial-of-Service/rate-limit category, challenge, or configuration toggle describing an intentional, controllable performance-degradation condition","A documented category, challenge entry, or config toggle describing such a condition, with a defined measurable expected outcome (e.g. an expected latency or throughput change), would have been observed","SOURCE_VERIFIED","","Negative evidence for the Performance modality: none found."
"SUT05-EV-0017","SUT-05","Performance","1","source-file","https://github.com/juice-shop/juice-shop","1618a611b173b4bf114028e6e02549950606e29d","routes/ (61 files); server.ts","The 61 REST route modules and the Express server they attach to are reachable by a generic HTTP load-testing tool (for example k6 or Artillery) exactly as contemplated by protocol/capability-rubric-v1.md Score 1's definition","The evaluated version itself provides no specific performance ground truth beyond generic reachability (see SUT05-EV-0016)","SOURCE_VERIFIED","","Supports Score 1 for Performance."
"SUT05-EV-0018","SUT-05","Accessibility — Web only","","source-file","https://github.com/juice-shop/juice-shop","1618a611b173b4bf114028e6e02549950606e29d","package.json (dependencies and devDependencies, full file read)","Searched package.json's full dependency and devDependency lists for an accessibility-testing tool (axe-core, pa11y, lighthouse, or equivalent)","Presence of such a dependency, indicating the evaluated version ships or documents an accessibility-testing affordance, would have been observed","SOURCE_VERIFIED","","Negative evidence for Accessibility — Web only: none found."
"SUT05-EV-0019","SUT-05","Accessibility — Web only","1","source-file","https://github.com/juice-shop/juice-shop","1618a611b173b4bf114028e6e02549950606e29d","data/static/challenges.yml (16 categories, see SUT05-EV-0010); frontend/src/app","Searched the challenge catalog's 16 documented categories (SUT05-EV-0010) and the Angular frontend application directory for any documented/labeled accessibility violation, ARIA-live test fixture, or accessibility-specific challenge entry","A documented accessibility condition (for example a known missing-alt-text or contrast fault) with a defined, scanner-detectable expected outcome would have been observed; none was found. The evaluated version's Angular Material web UI (surface CONFIRMED, section 2) remains reachable by a generic accessibility scanner (e.g. axe-core) exactly as contemplated by Score 1","SOURCE_VERIFIED","","Supports Score 1 for Accessibility — Web only. The web surface itself exists (audit.md section 2), so Decision procedure step 1 (protocol/capability-rubric-v1.md) answers yes and Score 0 does not apply."
"SUT05-EV-0020","SUT-05","Visual Testing","1","source-file","https://github.com/juice-shop/juice-shop","1618a611b173b4bf114028e6e02549950606e29d","frontend/src/app (searched for a runtime theme/dark-mode toggle); config/*.yml (14 files)","Searched the Angular frontend for a runtime (in-session) visual-condition toggle (e.g. a dark-mode switch) and the 14 config/*.yml branding profiles (7ms.yml, addo.yml, bodgeit.yml, ctf.yml, defcon33.yml, fbctf.yml, juicebox.yml, mozilla.yml, oss.yml, quiet.yml, test.yml, tutorial.yml, unsafe.yml, default.yml) for any documented, in-session-activatable visual condition","A runtime-switchable visual condition with a defined expected screenshot-diff outcome would have been observed; none was found. The config/*.yml branding profiles are selected only at application startup (via NODE_ENV/config file selection), not activatable within a running session, so they do not meet the evaluated-version-already-exposes-it bar for an in-session experimental condition; the evaluated version's rendered UI remains reachable by a generic screenshot-diff tool (e.g. Pixelmatch) exactly as contemplated by Score 1","SOURCE_VERIFIED","","Supports Score 1 for Visual Testing."
"SUT05-EV-0021","SUT-05","Android Native","0","source-file","https://github.com/juice-shop/juice-shop","1618a611b173b4bf114028e6e02549950606e29d","repository root listing; package.json (dependencies)","Searched the evaluated commit's full top-level directory tree and package.json's dependencies for Android build artifacts or cross-platform mobile frameworks (*.gradle files, AndroidManifest.xml, react-native, capacitor, cordova, flutter)","An Android build directory/project or a cross-platform mobile framework dependency would have been observed; none was found. The evaluated repository is a single Node.js/Angular web application (frontend/, routes/, server.ts)","SOURCE_VERIFIED","NO_MOBILE_SURFACE: no Android application build exists in the evaluated version (juice-shop/juice-shop at commit 1618a611b173b4bf114028e6e02549950606e29d)","Negative evidence for Android Native; structurally absent from the evaluated version."
"SUT05-EV-0022","SUT-05","iOS Native","0","source-file","https://github.com/juice-shop/juice-shop","1618a611b173b4bf114028e6e02549950606e29d","repository root listing; package.json (dependencies)","Searched the same evaluated commit's tree and package.json for iOS build artifacts (*.xcodeproj, Podfile) or cross-platform mobile frameworks (react-native, capacitor, cordova, flutter)","An iOS build directory/project or a cross-platform mobile framework dependency would have been observed; none was found","SOURCE_VERIFIED","NO_MOBILE_SURFACE: no iOS application build exists in the evaluated version (juice-shop/juice-shop at commit 1618a611b173b4bf114028e6e02549950606e29d)","Negative evidence for iOS Native; structurally absent from the evaluated version. Same basis as SUT05-EV-0021."
